RowID;age;workclass;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;class
Row59;30;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;5013;0;40;United-States;<=50K
Row60;30;Private;Bachelors;13;Married-civ-spouse;Sales;Husband;White;Male;2407;0;40;United-States;<=50K
Row61;32;;7th-8th;4;Married-spouse-absent;;Not-in-family;White;Male;0;0;40;;<=50K
Row62;48;Private;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;White;Male;0;0;40;United-States;<=50K
Row63;42;Private;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;45;United-States;>50K
Row64;29;Private;Some-college;10;Divorced;Tech-support;Not-in-family;White;Male;0;0;58;United-States;<=50K
Row65;36;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
Row66;28;Private;Some-college;10;Divorced;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row67;53;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Wife;White;Female;0;0;40;United-States;>50K
Row68;49;Self-emp-inc;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;50;United-States;>50K
Row69;25;;Some-college;10;Never-married;;Own-child;White;Male;0;0;40;United-States;<=50K
Row70;19;Private;Some-college;10;Never-married;Prof-specialty;Own-child;White;Male;0;0;32;United-States;<=50K
Row71;31;Private;Bachelors;13;Separated;Sales;Own-child;Black;Female;0;0;40;United-States;<=50K
Row72;29;Self-emp-not-inc;Bachelors;13;Married-civ-spouse;Sales;Husband;White;Male;0;0;70;United-States;>50K
Row73;23;Private;Some-college;10;Never-married;Machine-op-inspct;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row74;79;Private;Some-college;10;Married-civ-spouse;Prof-specialty;Other-relative;White;Male;0;0;20;United-States;<=50K
Row75;27;Private;HS-grad;9;Never-married;Other-service;Own-child;White;Male;0;0;40;Mexico;<=50K
Row76;40;Private;Assoc-acdm;12;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;40;United-States;<=50K
Row77;67;;10th;6;Married-civ-spouse;;Husband;White;Male;0;0;2;United-States;<=50K
Row78;18;Private;11th;7;Never-married;Other-service;Own-child;White;Female;0;0;22;United-States;<=50K
Row79;31;Local-gov;7th-8th;4;Married-civ-spouse;Farming-fishing;Husband;White;Male;0;0;40;United-States;<=50K
Row80;18;Private;HS-grad;9;Never-married;Sales;Not-in-family;White;Male;0;0;30;United-States;<=50K
Row81;52;Private;Bachelors;13;Married-civ-spouse;Other-service;Husband;White;Male;0;0;40;Cuba;<=50K
Row82;46;Private;HS-grad;9;Married-civ-spouse;Other-service;Wife;White;Female;0;0;40;United-States;<=50K
Row83;59;Private;HS-grad;9;Married-civ-spouse;Sales;Husband;White;Male;0;0;48;United-States;<=50K
Row84;44;Private;HS-grad;9;Divorced;Craft-repair;Not-in-family;White;Female;14344;0;40;United-States;>50K
Row85;53;Private;HS-grad;9;Divorced;Sales;Own-child;White;Female;0;0;35;United-States;<=50K
Row86;49;Local-gov;HS-grad;9;Married-civ-spouse;Protective-serv;Husband;White;Male;0;0;40;United-States;>50K
Row87;33;Private;Masters;14;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;50;United-States;<=50K
Row88;30;Private;9th;5;Never-married;Sales;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row89;43;Federal-gov;Doctorate;16;Never-married;Prof-specialty;Not-in-family;White;Female;0;0;50;United-States;>50K
Row90;57;Private;Assoc-voc;11;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
Row91;37;Private;Some-college;10;Divorced;Craft-repair;Unmarried;White;Female;0;0;40;United-States;<=50K
Row92;28;Private;Some-college;10;Divorced;Machine-op-inspct;Unmarried;Black;Female;0;0;25;United-States;<=50K
Row93;30;Private;HS-grad;9;Married-civ-spouse;Sales;Wife;Asian-Pac-Islander;Female;0;1573;35;;<=50K
Row94;34;Local-gov;Bachelors;13;Married-civ-spouse;Protective-serv;Husband;White;Male;0;0;40;United-States;>50K
Row95;29;Local-gov;Some-college;10;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;50;United-States;<=50K
Row96;48;Self-emp-not-inc;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;1902;60;United-States;>50K
Row97;37;Private;Some-college;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;48;United-States;>50K
Row98;48;Private;Assoc-acdm;12;Divorced;Exec-managerial;Unmarried;White;Female;0;0;40;England;<=50K
Row99;32;Federal-gov;HS-grad;9;Never-married;Other-service;Own-child;Black;Male;0;0;40;United-States;<=50K
Row100;76;Private;Masters;14;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;40;United-States;>50K
Row101;44;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024;0;60;United-States;>50K
Row102;47;Self-emp-not-inc;Masters;14;Never-married;Prof-specialty;Not-in-family;White;Female;0;0;50;United-States;<=50K
Row103;20;Private;Some-college;10;Never-married;Tech-support;Own-child;White;Female;0;0;40;United-States;<=50K
Row104;29;Private;HS-grad;9;Never-married;Craft-repair;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row105;32;Self-emp-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;7688;0;40;United-States;>50K
Row106;17;;10th;6;Never-married;;Own-child;White;Female;34095;0;32;United-States;<=50K
Row107;30;Private;11th;7;Never-married;Handlers-cleaners;Own-child;White;Male;0;0;40;United-States;<=50K
Row108;31;Local-gov;HS-grad;9;Never-married;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row109;42;Private;HS-grad;9;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;0;0;40;United-States;<=50K
Row110;24;Private;Bachelors;13;Never-married;Sales;Other-relative;White;Male;0;0;40;United-States;<=50K
Row111;38;Private;Prof-school;15;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;>50K
Row112;56;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Other-service;Husband;White;Male;0;1887;50;Canada;>50K
Row113;28;Private;Some-college;10;Married-civ-spouse;Sales;Wife;White;Female;4064;0;25;United-States;<=50K
Row114;36;Private;HS-grad;9;Never-married;Machine-op-inspct;Own-child;White;Female;0;0;40;United-States;<=50K
Row115;53;Private;9th;5;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;0;0;50;United-States;<=50K
Row116;56;Self-emp-inc;Some-college;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
Row117;49;Local-gov;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;Black;Male;0;0;40;United-States;>50K
Row118;55;Private;Some-college;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;56;United-States;<=50K
Row119;22;Private;HS-grad;9;Never-married;Craft-repair;Not-in-family;White;Male;0;0;41;United-States;<=50K
Row120;21;Private;Some-college;10;Never-married;Other-service;Own-child;White;Female;0;0;40;United-States;<=50K
Row121;40;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;60;United-States;<=50K
Row122;30;Private;Bachelors;13;Never-married;Exec-managerial;Own-child;Black;Male;0;0;40;Germany;<=50K
Row123;29;State-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;50;United-States;>50K
Row124;19;Private;Some-college;10;Never-married;Other-service;Own-child;Black;Male;0;0;35;United-States;<=50K
Row125;47;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Wife;White;Female;0;0;40;United-States;>50K
Row126;20;Private;Some-college;10;Never-married;Adm-clerical;Own-child;White;Female;0;1719;28;United-States;<=50K
Row127;31;Private;Assoc-acdm;12;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;40;United-States;>50K
Row128;35;;HS-grad;9;Married-civ-spouse;;Husband;White;Male;0;0;40;United-States;<=50K
Row129;39;Private;Some-college;10;Divorced;Craft-repair;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row130;28;Private;Assoc-acdm;12;Never-married;Sales;Not-in-family;White;Female;0;0;60;United-States;<=50K
Row131;24;Private;HS-grad;9;Never-married;Other-service;Not-in-family;White;Female;0;1762;40;United-States;<=50K
Row132;38;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;4386;0;35;United-States;<=50K
Row133;37;Private;Bachelors;13;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
Row134;46;Private;Assoc-acdm;12;Divorced;Tech-support;Not-in-family;Black;Female;0;0;36;United-States;<=50K
Row135;38;Federal-gov;Masters;14;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;Iran;>50K
Row136;43;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;60;United-States;<=50K
Row137;27;Private;Assoc-voc;11;Married-civ-spouse;Adm-clerical;Wife;White;Female;0;0;35;United-States;<=50K
Row138;20;Private;Some-college;10;Never-married;Sales;Own-child;White;Male;0;0;20;United-States;<=50K
Row139;49;Private;Some-college;10;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;0;0;40;United-States;>50K
Row140;61;Self-emp-inc;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
Row141;27;Private;Some-college;10;Never-married;Sales;Own-child;White;Female;0;0;40;United-States;<=50K
Row142;19;Private;Some-college;10;Never-married;Other-service;Own-child;White;Male;0;0;30;Mexico;<=50K
Row143;45;Private;Assoc-voc;11;Never-married;Prof-specialty;Not-in-family;White;Female;0;1564;40;United-States;>50K
Row144;70;Private;Some-college;10;Never-married;Tech-support;Other-relative;White;Male;0;0;40;United-States;<=50K
Row145;31;Private;HS-grad;9;Never-married;Transport-moving;Unmarried;Black;Female;0;0;30;United-States;<=50K
Row146;22;Private;Some-college;10;Married-civ-spouse;Other-service;Husband;White;Male;0;0;24;United-States;<=50K
Row147;36;Private;HS-grad;9;Widowed;Other-service;Unmarried;White;Female;0;0;24;United-States;<=50K
Row148;64;Private;11th;7;Married-civ-spouse;Craft-repair;Husband;White;Male;0;2179;40;United-States;<=50K
Row149;43;;Some-college;10;Divorced;;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row150;47;Local-gov;Some-college;10;Divorced;Adm-clerical;Unmarried;White;Female;0;0;38;Mexico;<=50K
Row151;34;Private;HS-grad;9;Never-married;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row152;33;Private;Bachelors;13;Never-married;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0;0;40;Philippines;<=50K
Row153;21;Private;HS-grad;9;Never-married;Craft-repair;Own-child;White;Male;0;0;35;United-States;<=50K
Row154;52;;HS-grad;9;Divorced;;Not-in-family;White;Male;0;0;45;United-States;>50K
Row155;48;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;46;United-States;<=50K
Row156;23;Private;Bachelors;13;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row157;71;Self-emp-not-inc;Some-college;10;Separated;Sales;Unmarried;Black;Male;0;1816;2;United-States;<=50K
Row158;29;Private;HS-grad;9;Divorced;Craft-repair;Not-in-family;White;Male;0;0;60;United-States;<=50K
Row159;42;Private;Bachelors;13;Separated;Other-service;Other-relative;Black;Male;0;0;50;United-States;<=50K
Row160;68;;1st-4th;2;Divorced;;Not-in-family;White;Female;0;0;20;United-States;<=50K
Row161;25;Private;HS-grad;9;Never-married;Other-service;Unmarried;White;Female;0;0;40;United-States;<=50K
Row162;44;Self-emp-inc;Masters;14;Divorced;Exec-managerial;Unmarried;Asian-Pac-Islander;Female;0;0;40;United-States;<=50K
Row163;28;Private;HS-grad;9;Never-married;Exec-managerial;Not-in-family;Asian-Pac-Islander;Female;0;0;40;England;<=50K
Row164;45;Self-emp-not-inc;Masters;14;Married-civ-spouse;Sales;Husband;White;Male;0;0;40;United-States;>50K
Row165;36;Private;Some-college;10;Divorced;Other-service;Unmarried;White;Female;0;0;40;Mexico;<=50K
Row166;39;Federal-gov;Assoc-acdm;12;Never-married;Exec-managerial;Not-in-family;White;Male;0;0;42;United-States;<=50K
Row167;46;State-gov;Masters;14;Widowed;Protective-serv;Unmarried;White;Male;0;0;40;United-States;<=50K
Row168;18;Private;11th;7;Never-married;Handlers-cleaners;Own-child;White;Male;0;0;16;United-States;<=50K
Row169;66;Local-gov;Assoc-voc;11;Widowed;Prof-specialty;Not-in-family;White;Female;0;0;20;United-States;<=50K
Row170;27;Private;HS-grad;9;Never-married;Other-service;Not-in-family;White;Male;0;1980;40;United-States;<=50K
Row171;28;State-gov;HS-grad;9;Married-civ-spouse;Protective-serv;Husband;White;Male;0;0;40;United-States;<=50K
Row172;51;Private;Some-college;10;Married-civ-spouse;Sales;Husband;White;Male;0;1977;40;United-States;>50K
Row173;27;Private;Bachelors;13;Never-married;Craft-repair;Not-in-family;White;Male;0;0;50;United-States;<=50K
Row174;28;State-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;>50K
Row175;27;Private;HS-grad;9;Married-spouse-absent;Sales;Unmarried;White;Female;0;0;25;United-States;<=50K
Row176;21;Private;HS-grad;9;Never-married;Craft-repair;Own-child;Black;Male;0;0;40;United-States;<=50K
Row177;34;Private;HS-grad;9;Never-married;Handlers-cleaners;Not-in-family;Black;Male;0;0;40;United-States;<=50K
Row178;18;Private;HS-grad;9;Never-married;Other-service;Own-child;White;Male;0;0;12;United-States;<=50K
Row179;33;Private;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;65;United-States;<=50K
Row180;44;Local-gov;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;Black;Male;0;0;38;United-States;>50K
Row181;43;Private;Some-college;10;Divorced;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row182;30;Private;Some-college;10;Never-married;Craft-repair;Not-in-family;Black;Male;0;0;45;United-States;<=50K
Row183;40;Private;7th-8th;4;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;40;Mexico;>50K
Row184;37;Federal-gov;Some-college;10;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;42;United-States;>50K
Row185;34;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Husband;Black;Male;0;0;40;United-States;<=50K
Row186;41;Self-emp-not-inc;Bachelors;13;Divorced;Exec-managerial;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row187;53;;Bachelors;13;Divorced;;Not-in-family;White;Female;0;0;50;United-States;<=50K
Row188;31;Private;Masters;14;Married-civ-spouse;Prof-specialty;Wife;White;Female;0;0;50;United-States;<=50K
Row189;58;State-gov;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;1;United-States;>50K
Row190;38;Private;Some-college;10;Divorced;Machine-op-inspct;Not-in-family;Black;Female;0;0;28;United-States;<=50K
Row191;24;Private;Some-college;10;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;40;United-States;<=50K
Row192;41;Local-gov;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;Black;Male;0;0;40;United-States;<=50K
Row193;47;Private;Some-college;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;45;United-States;<=50K
Row194;41;Federal-gov;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;24;United-States;<=50K
Row195;23;Private;5th-6th;3;Married-civ-spouse;Transport-moving;Other-relative;White;Male;0;0;40;Mexico;<=50K
Row196;36;Private;Some-college;10;Divorced;Craft-repair;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row197;40;Federal-gov;Masters;14;Never-married;Exec-managerial;Not-in-family;White;Female;14084;0;55;United-States;>50K
Row198;35;Private;Masters;14;Married-civ-spouse;Prof-specialty;Other-relative;White;Male;7298;0;40;United-States;>50K
Row199;24;Self-emp-not-inc;HS-grad;9;Never-married;Sales;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row200;26;Private;Masters;14;Never-married;Prof-specialty;Not-in-family;White;Female;0;1876;40;United-States;<=50K
Row201;19;;HS-grad;9;Never-married;;Own-child;White;Male;0;0;40;Italy;<=50K
Row202;51;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;50;United-States;>50K
Row203;42;Local-gov;Some-college;10;Never-married;Prof-specialty;Not-in-family;White;Female;0;1340;40;United-States;<=50K
Row204;37;State-gov;HS-grad;9;Divorced;Adm-clerical;Unmarried;White;Female;0;0;35;United-States;<=50K
Row205;18;Private;11th;7;Never-married;Sales;Own-child;White;Female;0;0;40;United-States;<=50K
Row206;36;Private;Bachelors;13;Married-civ-spouse;Other-service;Husband;Black;Male;7298;0;36;United-States;>50K
Row207;35;Private;HS-grad;9;Divorced;Craft-repair;Not-in-family;White;Male;0;0;60;United-States;<=50K
Row208;58;Self-emp-inc;HS-grad;9;Married-civ-spouse;Sales;Wife;White;Female;15024;0;35;United-States;>50K
Row209;17;Private;11th;7;Never-married;Sales;Own-child;White;Female;0;0;12;United-States;<=50K
Row210;44;Local-gov;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;Black;Male;0;0;40;United-States;<=50K
Row211;37;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;>50K
Row212;35;Private;Some-college;10;Never-married;Sales;Not-in-family;Amer-Indian-Eskimo;Female;0;0;40;United-States;<=50K
Row213;60;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;0;0;40;United-States;<=50K
Row214;54;Self-emp-inc;7th-8th;4;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;40;United-States;>50K
Row215;37;Private;Bachelors;13;Never-married;Exec-managerial;Not-in-family;Black;Male;0;0;60;United-States;>50K
Row216;50;Private;Assoc-acdm;12;Divorced;Sales;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row217;38;Private;Bachelors;13;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;Poland;<=50K
Row218;45;Private;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;55;United-States;<=50K
Row219;25;Private;10th;6;Never-married;Craft-repair;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row220;31;Private;Some-college;10;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;0;0;40;United-States;<=50K
Row221;64;;1st-4th;2;Divorced;;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row222;90;Private;HS-grad;9;Never-married;Other-service;Not-in-family;Black;Male;0;2206;40;United-States;<=50K
Row223;54;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Husband;Black;Male;0;0;20;United-States;<=50K
Row224;53;Local-gov;Preschool;1;Never-married;Machine-op-inspct;Not-in-family;White;Female;0;0;35;United-States;<=50K
Row225;18;Private;HS-grad;9;Never-married;Sales;Own-child;White;Female;0;0;40;United-States;<=50K
Row226;60;;10th;6;Divorced;;Not-in-family;Amer-Indian-Eskimo;Female;0;0;10;United-States;<=50K
Row227;66;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Farming-fishing;Husband;White;Male;1409;0;50;United-States;<=50K
Row228;75;Private;Assoc-voc;11;Widowed;Adm-clerical;Not-in-family;White;Female;0;0;20;Columbia;<=50K
Row229;65;Private;HS-grad;9;Divorced;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
Row230;35;Private;11th;7;Separated;Transport-moving;Not-in-family;Black;Male;3674;0;40;United-States;<=50K
Row231;41;Private;HS-grad;9;Divorced;Sales;Unmarried;Black;Female;0;0;38;United-States;<=50K
Row232;25;Private;Some-college;10;Never-married;Adm-clerical;Not-in-family;White;Male;0;0;42;United-States;<=50K
Row233;33;Private;Some-college;10;Divorced;Craft-repair;Other-relative;Other;Female;0;0;40;United-States;<=50K
Row234;28;Private;Prof-school;15;Never-married;Prof-specialty;Not-in-family;White;Male;0;0;55;United-States;>50K
Row235;59;State-gov;HS-grad;9;Married-civ-spouse;Other-service;Husband;White;Male;0;0;40;United-States;<=50K
Row236;40;State-gov;Some-college;10;Never-married;Adm-clerical;Not-in-family;White;Female;0;0;38;United-States;<=50K
Row237;41;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;50;Iran;>50K
Row238;38;Local-gov;Masters;14;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;70;United-States;>50K
Row239;23;Private;HS-grad;9;Never-married;Transport-moving;Own-child;White;Male;0;0;40;United-States;<=50K
